Channel,Group,Source,Link
湖北卫视,weishi,,http://183.207.248.134/ott.js.chinamobile.com/PLTV/3/224/3221227495/index.m3u8
湖北卫视,weishi,,http://183.207.249.143/ott.js.chinamobile.com/PLTV/3/224/3221227479/index.m3u8
湖南卫视,weishi,,http://223.110.236.26/ott.js.chinamobile.com/PLTV/3/224/3221228177/index.m3u8
湖南卫视,weishi,,http://223.110.235.10/ott.js.chinamobile.com/PLTV/3/224/3221227320/index.m3u8
湖南卫视,weishi,,http://183.207.249.136/ott.js.chinamobile.com/PLTV/3/224/3221227220/index.m3u8
湖南卫视,weishi,,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221227735/index.m3u8
湖南卫视,weishi,,http://183.207.249.176/ott.js.chinamobile.com/PLTV/3/224/3221227698/index.m3u8
湖南卫视,weishi,,http://223.110.236.24/ott.js.chinamobile.com/PLTV/3/224/3221228227/index.m3u8
湖南卫视,weishi,,http://223.110.236.10/ott.js.chinamobile.com/PLTV/3/224/3221227191/index.m3u8
湖南卫视,weishi,,http://183.207.248.133/ott.js.chinamobile.com/PLTV/3/224/3221227404/index.m3u8
湖南卫视,weishi,,http://223.110.235.23/ott.js.chinamobile.com/PLTV/3/224/3221227482/index.m3u8
甘肃卫视,weishi,,http://223.110.236.16/ott.js.chinamobile.com/PLTV/3/224/3221228166/index.m3u8
贵州卫视,weishi,,http://223.110.235.8/ott.js.chinamobile.com/PLTV/3/224/3221228136/index.m3u8
辽宁卫视,weishi,,http://183.207.248.166/ott.js.chinamobile.com/PLTV/3/224/3221227380/index.m3u8
辽宁卫视,weishi,,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221227676/index.m3u8
辽宁卫视,weishi,,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221227700/index.m3u8
辽宁卫视,weishi,,http://223.110.235.22/ott.js.chinamobile.com/PLTV/3/224/3221228162/index.m3u8
辽宁卫视,weishi,,http://183.207.248.165/ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8
辽宁卫视,weishi,,http://183.207.248.172/ott.js.chinamobile.com/PLTV/3/224/3221227485/index.m3u8
重庆卫视,weishi,,http://183.207.248.105/ott.js.chinamobile.com/PLTV/3/224/3221227550/index.m3u8
重庆卫视,weishi,,http://183.207.249.106/ott.js.chinamobile.com/PLTV/3/224/3221227632/index.m3u8
重庆卫视,weishi,,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227729/index.m3u8
重庆卫视,weishi,,http://223.110.235.8/ott.js.chinamobile.com/PLTV/3/224/3221228133/index.m3u8
黑龙江卫视,weishi,,http://223.110.245.163/ott.js.chinamobile.com/PLTV/3/224/3221227252/index.m3u8
黑龙江卫视,weishi,,http://183.207.249.176/ott.js.chinamobile.com/PLTV/3/224/3221227323/index.m3u8
黑龙江卫视,weishi,,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221227662/index.m3u8
黑龙江卫视,weishi,,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221227753/index.m3u8
黑龙江卫视,weishi,,http://223.110.235.23/ott.js.chinamobile.com/PLTV/3/224/3221228233/index.m3u8
黑龙江卫视,weishi,,http://183.207.248.139/ott.js.chinamobile.com/PLTV/3/224/3221227492/index.m3u8
黑龙江卫视,weishi,,http://183.207.249.106/ott.js.chinamobile.com/PLTV/3/224/3221227638/index.m3u8
黑龙江卫视,weishi,,http://183.207.249.165/ott.js.chinamobile.com/PLTV/3/224/3221227514/index.m3u8
SiTV全纪实,special,,http://183.207.249.175/ott.js.chinamobile.com/PLTV/3/224/3221227771/index.m3u8
SiTV动漫秀场,special,,http://223.110.245.146/ott.js.chinamobile.com/PLTV/3/224/3221227774/index.m3u8
SiTV游戏风云,special,,http://183.207.248.111/ott.js.chinamobile.com/PLTV/3/224/3221227713/index.m3u8
SiTV生活时尚,special,,http://183.207.248.105/ott.js.chinamobile.com/PLTV/3/224/3221227707/index.m3u8
SiTV都市剧场,special,,http://223.110.236.12/ott.js.chinamobile.com/PLTV/3/224/3221227710/index.m3u8
NewTV潮妈辣婆,special,,http://223.110.235.24/ott.js.chinamobile.com/PLTV/3/224/3221227527/index.m3u8
NewTV中国功夫,special,,http://223.110.235.25/ott.js.chinamobile.com/PLTV/3/224/3221227530/index.m3u8
NewTV怡伴健康,special,,http://223.110.235.24/ott.js.chinamobile.com/PLTV/3/224/3221227612/index.m3u8
NewTV军事评论,special,,http://223.110.235.24/ott.js.chinamobile.com/PLTV/3/224/3221227544/index.m3u8
NewTV军旅剧场,special,,http://223.110.236.11/ott.js.chinamobile.com/PLTV/3/224/3221227603/index.m3u8
NewTV农业致富,special,,http://223.110.235.25/ott.js.chinamobile.com/PLTV/3/224/3221227588/index.m3u8
NewTV动作电影,special,,http://223.110.235.6/ott.js.chinamobile.com/PLTV/3/224/3221227606/index.m3u8
NewTV古装剧场,special,,http://223.110.236.10/ott.js.chinamobile.com/PLTV/3/224/3221227542/index.m3u8
NewTV家庭剧场,special,,http://223.110.235.7/ott.js.chinamobile.com/PLTV/3/224/3221227600/index.m3u8
