Channel,Group,Source,Link
CCTV-11,cctv,黑龙江移动[CDN],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-11HD,cctv,江西移动,http://117.169.120.140:8080/live/cctv-11/.m3u8
CCTV-11HD,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225628/index.m3u8
CCTV-12,cctv,贵州移动[CDN],http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225747/1/index.m3u8?fmt=ts2hls
CCTV-12,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225567/index.m3u8?fmt=ts2hls
CCTV-12,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225629/index.m3u8
CCTV-12,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225775/index.m3u8
CCTV-12,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV-12,cctv,黑龙江移动[CDN],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-12,cctv,黑龙江移动[鸡西],http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV-12HD,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225495/index.m3u8?fmt=ts2hls
CCTV-12HD,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225637/index.m3u8
CCTV-13,cctv,JLNTV官方,http://stream4.jlntv.cn/cctv13/sd/live.m3u8
CCTV-13,cctv,江苏移动,http://183.207.249.14/PLTV/3/224/3221225560/index.m3u8
CCTV-13,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225566/index.m3u8?fmt=ts2hls
CCTV-13,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225617/index.m3u8
CCTV-13,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225774/index.m3u8
CCTV-13,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-13,cctv,黑龙江移动[CDN],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-13,cctv,黑龙江移动[鸡西],http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV-13HD,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225638/index.m3u8
CCTV-14,cctv,江西移动[CDN],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225565/index.m3u8?fmt=ts2hls
CCTV-14,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225784/index.m3u8
CCTV-14,cctv,陕西移动[CDN],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
